Model,Threshold,Accuracy,Precision,Recall,F1,ROC-AUC
RandomForest,0.21,0.971001392519483,0.07299912049252419,0.38425925925925924,0.12269031781226904,0.9240155513349142
XGBoost,0.1,0.9945398578164317,0.48329621380846327,0.5023148148148148,0.492622020431328,0.9578157732142093
CNN-LSTM,0.92,0.9889942100505704,0.2671300893743793,0.6226851851851852,0.37387074357192496,0.9556801253048366
